SKU,Product Title,Alibaba Category,Collection,Brief Description,Available Sizes,Material,Certifications,Unit Price – 1–9 units (USD FOB),Unit Price – 10–99 units (USD FOB),Unit Price – 100+ units (USD FOB),Minimum Order Quantity,Supply Ability (per month),Lead Time,Place of Origin,Brand,Port of Export,Payment Terms,Packaging,Product Image URL,Product Page URL,Keywords
LS-PALM-QP-ROUND-5FT,Commercial Artificial Queen Palm Tree — Round Pot – 5 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Premium artificial Queen Palm purpose-built for hotel lobbies, resort pool areas and commercial atriums. Botanical-specimen PE fronds, individually hand-positioned for natural drape. A special-order NFPA 701 option is available for select configurations; documentation is tied to the project or order.",5 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, round ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",129.00,103.00,80.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-round.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm tree, commercial artificial palm, hotel lobby palm, fake palm indoor, NFPA 701 palm tree"
LS-PALM-QP-ROUND-6FT,Commercial Artificial Queen Palm Tree — Round Pot – 6 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Premium artificial Queen Palm purpose-built for hotel lobbies, resort pool areas and commercial atriums. Botanical-specimen PE fronds, individually hand-positioned for natural drape. A special-order NFPA 701 option is available for select configurations; documentation is tied to the project or order.",6 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, round ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",129.00,103.00,80.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-round.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm tree, commercial artificial palm, hotel lobby palm, fake palm indoor, NFPA 701 palm tree"
LS-PALM-QP-ROUND-7FT,Commercial Artificial Queen Palm Tree — Round Pot – 7 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Premium artificial Queen Palm purpose-built for hotel lobbies, resort pool areas and commercial atriums. Botanical-specimen PE fronds, individually hand-positioned for natural drape. A special-order NFPA 701 option is available for select configurations; documentation is tied to the project or order.",7 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, round ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",129.00,103.00,80.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-round.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm tree, commercial artificial palm, hotel lobby palm, fake palm indoor, NFPA 701 palm tree"
LS-PALM-QP-WHITE-4FT,Commercial Artificial Queen Palm Tree — White Pot – 4 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,Contemporary white-pot Queen Palm for minimalist hotel lobbies and corporate reception areas. Same premium PE foliage and steel armature as our classic round-pot model. Special-order NFPA 701 option available for select configurations.,4 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, white ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",119.00,95.00,74.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-white.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm white pot, contemporary artificial palm, minimalist palm tree, office lobby palm"
LS-PALM-QP-WHITE-5FT,Commercial Artificial Queen Palm Tree — White Pot – 5 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,Contemporary white-pot Queen Palm for minimalist hotel lobbies and corporate reception areas. Same premium PE foliage and steel armature as our classic round-pot model. Special-order NFPA 701 option available for select configurations.,5 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, white ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",119.00,95.00,74.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-white.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm white pot, contemporary artificial palm, minimalist palm tree, office lobby palm"
LS-PALM-QP-WHITE-6FT,Commercial Artificial Queen Palm Tree — White Pot – 6 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,Contemporary white-pot Queen Palm for minimalist hotel lobbies and corporate reception areas. Same premium PE foliage and steel armature as our classic round-pot model. Special-order NFPA 701 option available for select configurations.,6 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, white ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",119.00,95.00,74.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-white.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm white pot, contemporary artificial palm, minimalist palm tree, office lobby palm"
LS-PALM-FAN-SINGLE-7FT,Commercial Artificial Single-trunk Fan Palm Tree – 7 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Large-format single-trunk fan palm for double-height atriums, airport lounges, casino floors and shopping centre food courts. Available 7–10 ft with UV-stabilised PE foliage for outdoor pool deck applications. Special-order NFPA 701 option available for select configurations.",7 ft,"PE fan fronds, steel armature, textured fibreglass trunk, weighted planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",199.00,159.00,122.00,1,2000 pcs/month,20–35 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-fan-single.webp,https://laysun.co/artificial-palm-trees,"artificial fan palm tree, large indoor palm, washingtonia palm artificial, 10ft artificial palm, commercial fan palm"
LS-PALM-FAN-SINGLE-8FT,Commercial Artificial Single-trunk Fan Palm Tree – 8 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Large-format single-trunk fan palm for double-height atriums, airport lounges, casino floors and shopping centre food courts. Available 7–10 ft with UV-stabilised PE foliage for outdoor pool deck applications. Special-order NFPA 701 option available for select configurations.",8 ft,"PE fan fronds, steel armature, textured fibreglass trunk, weighted planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",199.00,159.00,122.00,1,2000 pcs/month,20–35 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-fan-single.webp,https://laysun.co/artificial-palm-trees,"artificial fan palm tree, large indoor palm, washingtonia palm artificial, 10ft artificial palm, commercial fan palm"
LS-PALM-FAN-SINGLE-9FT,Commercial Artificial Single-trunk Fan Palm Tree – 9 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Large-format single-trunk fan palm for double-height atriums, airport lounges, casino floors and shopping centre food courts. Available 7–10 ft with UV-stabilised PE foliage for outdoor pool deck applications. Special-order NFPA 701 option available for select configurations.",9 ft,"PE fan fronds, steel armature, textured fibreglass trunk, weighted planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",199.00,159.00,122.00,1,2000 pcs/month,20–35 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-fan-single.webp,https://laysun.co/artificial-palm-trees,"artificial fan palm tree, large indoor palm, washingtonia palm artificial, 10ft artificial palm, commercial fan palm"
LS-PALM-FAN-SINGLE-10FT,Commercial Artificial Single-trunk Fan Palm Tree – 10 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Large-format single-trunk fan palm for double-height atriums, airport lounges, casino floors and shopping centre food courts. Available 7–10 ft with UV-stabilised PE foliage for outdoor pool deck applications. Special-order NFPA 701 option available for select configurations.",10 ft,"PE fan fronds, steel armature, textured fibreglass trunk, weighted planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",199.00,159.00,122.00,1,2000 pcs/month,20–35 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-fan-single.webp,https://laysun.co/artificial-palm-trees,"artificial fan palm tree, large indoor palm, washingtonia palm artificial, 10ft artificial palm, commercial fan palm"
LS-PALM-FAN-DOUBLE-8FT,Commercial Artificial Double-trunk Fan Palm Tree – 8 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Statement double-trunk fan palm for landmark hospitality installations — resort lobbies, casino atriums, luxury retail. Dual-trunk configuration adds dramatic visual impact at 8–9 ft. Special-order NFPA 701 option available for select configurations.",8 ft,"PE fan fronds, dual steel armature cores, textured fibreglass trunks, weighted base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",269.00,215.00,166.00,1,2000 pcs/month,20–35 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-fan-double.webp,https://laysun.co/artificial-palm-trees,"double trunk artificial palm, twin trunk palm tree, large commercial palm, resort lobby palm"
LS-PALM-FAN-DOUBLE-9FT,Commercial Artificial Double-trunk Fan Palm Tree – 9 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Statement double-trunk fan palm for landmark hospitality installations — resort lobbies, casino atriums, luxury retail. Dual-trunk configuration adds dramatic visual impact at 8–9 ft. Special-order NFPA 701 option available for select configurations.",9 ft,"PE fan fronds, dual steel armature cores, textured fibreglass trunks, weighted base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",269.00,215.00,166.00,1,2000 pcs/month,20–35 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-fan-double.webp,https://laysun.co/artificial-palm-trees,"double trunk artificial palm, twin trunk palm tree, large commercial palm, resort lobby palm"
LS-OLIVE-LS-NEW-4FT,LS New Style Commercial Artificial Olive Tree – 4 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,"LaySun's flagship 2025 olive tree design with dense natural canopy and realistic gnarled trunk. Ideal for hotel lobbies, restaurant entrances and retail spaces. A special-order NFPA 701 option is available for select configurations.",4 ft,"PE foliage with silk olive leaves, steel wire branches, fibreglass trunk, pot included","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",89.00,71.00,55.00,1,2000 pcs/month,15–25 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-new.webp,https://laysun.co/artificial-olive-trees,"artificial olive tree commercial, fake olive tree indoor, hotel olive tree, restaurant olive tree, NFPA 701 olive tree"
LS-OLIVE-LS-NEW-5FT,LS New Style Commercial Artificial Olive Tree – 5 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,"LaySun's flagship 2025 olive tree design with dense natural canopy and realistic gnarled trunk. Ideal for hotel lobbies, restaurant entrances and retail spaces. A special-order NFPA 701 option is available for select configurations.",5 ft,"PE foliage with silk olive leaves, steel wire branches, fibreglass trunk, pot included","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",89.00,71.00,55.00,1,2000 pcs/month,15–25 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-new.webp,https://laysun.co/artificial-olive-trees,"artificial olive tree commercial, fake olive tree indoor, hotel olive tree, restaurant olive tree, NFPA 701 olive tree"
